Property,DCAT-2
codeRepository,
programmingLanguage,dcterms:conformsTo
runtimePlatform,
targetProduct,
applicationCategory,dcat:theme
applicationSubCategory,
downloadUrl,dcat:downloadURL
fileSize,dcat:byteSize
installUrl,
memoryRequirements,
operatingSystem,
permissions,
processorRequirements,
releaseNotes,
softwareHelp,
softwareRequirements,
softwareVersion,
storageRequirements,
supportingData,
author,dcterms:creator
citation,
contributor,dcterms:contributor
copyrightHolder,
copyrightYear,
dateCreated,
dateModified,dcterms:modified
datePublished,dcterms:issued
editor,prov:qualifiedAttribution
encoding,dcat:mediaType
fileFormat,dcat:mediaType
funder,prov:qualifiedAttribution
keywords,dcat:keyword*
license,dcterms:license
producer,prov:qualifiedAttribution
provider,prov:qualifiedAttribution
publisher,dcterms:publisher
sponsor,prov:qualifiedAttribution
version,
isAccessibleForFree,
isPartOf,dcterms:isPartOf
hasPart,dcterms:hasPart
position,
description,dcterms:description
identifier,dcterms:identifier
name,dcterms:title
sameAs,
url,
relatedLink,dcterms:relation
givenName,vcard:hasGivenName
familyName,vcard:hasFamilyName
email,vcard:hasEmail
affiliation,
identifier,dcterms:identifier
name,
address,
type,dcterms:type
id,dcterms:identifier
softwareSuggestions,
maintainer,prov:qualifiedAttribution
contIntegration,
buildInstructions,
developmentStatus,
embargoDate,
funding,
issueTracker,
referencePublication,
readme,
