Property,GitHub
codeRepository,html_url
programmingLanguage,languages_url
runtimePlatform,
targetProduct,
applicationCategory,
applicationSubCategory,
downloadUrl,archive_url
fileSize,
installUrl,
memoryRequirements,
operatingSystem,
permissions,
processorRequirements,
releaseNotes,
softwareHelp,
softwareRequirements,
softwareVersion,
storageRequirements,
supportingData,
author,login
citation,
contributor,
copyrightHolder,
copyrightYear,
dateCreated,created_at
dateModified,updated_at
datePublished,
editor,
encoding,
fileFormat,
funder,
keywords,
license,license
producer,
provider,
publisher,
sponsor,
version,
isAccessibleForFree,
isPartOf,
hasPart,
position,
description,description
identifier,id
name,full_name
sameAs,
url,
relatedLink,
givenName,
familyName,
email,
affiliation,
identifier,
name,
address,
type,
id,
softwareSuggestions,
maintainer,
contIntegration,
buildInstructions,
developmentStatus,
embargoDate,
funding,
issueTracker,issues_url
referencePublication,
readme,
,
,
,
,
,
,
,
,
