Property,Leiningen (Clojure)
codeRepository,scm.name / scm.url
programmingLanguage,
runtimePlatform,
targetProduct,
applicationCategory,
applicationSubCategory,
downloadUrl,
fileSize,
installUrl,
memoryRequirements,
operatingSystem,
permissions,
processorRequirements,
releaseNotes,
softwareHelp,
softwareRequirements,
softwareVersion,
storageRequirements,
supportingData,
author,
citation,
contributor,
copyrightHolder,
copyrightYear,
dateCreated,
dateModified,
datePublished,
editor,
encoding,
fileFormat,
funder,
keywords,
license,license.url
producer,
provider,
publisher,
sponsor,
version,version
isAccessibleForFree,
isPartOf,
hasPart,
position,
description,description
identifier,
name,project-name
sameAs,
url,url
relatedLink,
givenName,
familyName,
email,mailing-list.post
affiliation,
identifier,
name,
address,
type,
id,
softwareSuggestions,
maintainer,
contIntegration,
buildInstructions,
developmentStatus,
embargoDate,
funding,
issueTracker,
referencePublication,
readme,
,
,
,
,
,
,
,
,
