Property,NodeJS
codeRepository,repository
programmingLanguage,
runtimePlatform,
targetProduct,
applicationCategory,
applicationSubCategory,
downloadUrl,
fileSize,
installUrl,
memoryRequirements,
operatingSystem,os
permissions,
processorRequirements,cpu / engines
releaseNotes,
softwareHelp,
softwareRequirements,dependencies / bundledDependencies / bundleDependencies / peerDependencies
softwareVersion,
storageRequirements,
supportingData,
author,author
citation,
contributor,contributors
copyrightHolder,
copyrightYear,
creator,author
dateCreated,
dateModified,
datePublished,
editor,
encoding,
fileFormat,
funder,
keywords,keywords
license,license
producer,
provider,
publisher,
sponsor,
version,version
isAccessibleForFree,
isPartOf,
hasPart,
position,
description,description
identifier,name
name,name
sameAs,
url,homepage
relatedLink,
givenName,
familyName,
email,author.email
affiliation,
identifier,
name,author.name
address,
type,
id,
softwareSuggestions,devDependencies / optionalDependencies
maintainer,
contIntegration,
buildInstructions,
developmentStatus,
embargoDate,
funding,
issueTracker,bugs
referencePublication,
readme,
,
,
,
,
,
,
,
,
