Property,Perl Module Description (CPAN::Meta)
codeRepository,resources.repository
programmingLanguage,
runtimePlatform,
targetProduct,
applicationCategory,Categories
applicationSubCategory,
downloadUrl,
fileSize,
installUrl,
memoryRequirements,
operatingSystem,OSNAMES
permissions,
processorRequirements,
releaseNotes,
softwareHelp,
softwareRequirements,prereqs
softwareVersion,
storageRequirements,
supportingData,
author,
citation,
contributor,
copyrightHolder,
copyrightYear,
creator,
dateCreated,
dateModified,
datePublished,
editor,
encoding,
fileFormat,
funder,
keywords,keywords
license,license
producer,
provider,
publisher,
sponsor,
version,
isAccessibleForFree,
isPartOf,
hasPart,
position,
description,"abstract, description"
identifier,
name,name
sameAs,
url,
relatedLink,
givenName,
familyName,
email,email-address
affiliation,
identifier,
name,author:contact-name
address,
type,
id,
softwareSuggestions,
maintainer,
contIntegration,
buildInstructions,
developmentStatus,release_status
embargoDate,
funding,
issueTracker,resources.bugtracker
referencePublication,
readme,
,
,
,
,
,
,
,
,
