Property,R Package Description
codeRepository,URL
programmingLanguage,
runtimePlatform,
targetProduct,
applicationCategory,
applicationSubCategory,
downloadUrl,
fileSize,
installUrl,
memoryRequirements,
operatingSystem,
permissions,
processorRequirements,
releaseNotes,
softwareHelp,
softwareRequirements,"Depends, SystemRequirements"
softwareVersion,
storageRequirements,
supportingData,
author,[aut] in Author
citation,
contributor,[ctb] in Author
copyrightHolder,
copyrightYear,
dateCreated,
dateModified,
datePublished,Date
editor,
encoding,
fileFormat,
funder,
keywords,
license,License
producer,
provider,
publisher,
sponsor,
version,
isAccessibleForFree,
isPartOf,
hasPart,
position,
description,Description
identifier,Package
name,Title
sameAs,
url,URL
relatedLink,
givenName,givenName
familyName,familyName
email,email
affiliation,
identifier,
name,
address,
type,
id,
softwareSuggestions,Suggests
maintainer,Maintainer
contIntegration,
buildInstructions,
developmentStatus,
embargoDate,
funding,
issueTracker,BugReports
referencePublication,
readme,
,
,
,
,
,
,
,
,
