Property,Trove Software Map
codeRepository,
programmingLanguage,Programming Language
runtimePlatform,
targetProduct,
applicationCategory,Topic
applicationSubCategory,
downloadUrl,
fileSize,
installUrl,
memoryRequirements,
operatingSystem,Operating System
permissions,
processorRequirements,
releaseNotes,
softwareHelp,
softwareRequirements,Database Environment
softwareVersion,
storageRequirements,
supportingData,
author,
citation,
contributor,
copyrightHolder,
copyrightYear,
dateCreated,
dateModified,last-updated
datePublished,
editor,
encoding,
fileFormat,
funder,
keywords,
license,license
producer,
provider,
publisher,
sponsor,
version,version
isAccessibleForFree,
isPartOf,
hasPart,
position,
description,description
identifier,
name,Title
sameAs,
url,
relatedLink,
givenName,
familyName,
email,
affiliation,
identifier,
name,
address,
type,
id,
softwareSuggestions,
maintainer,
contIntegration,
buildInstructions,
developmentStatus,Development Status
embargoDate,
funding,
issueTracker,
referencePublication,
readme,
,
,
,
,
,
,
,
,
